fight,redCorner,blueCorner,winner,event,referee,method_of_victory,date,venue,title_fight,billing,redCorner_wins,blueCorner_wins,redCorner_losses,blueCorner_losses,redCorner_draws,blueCorner_draws,redCorner_age,blueCorner_age,redCorner_nation,blueCorner_nation,redCorner_fan,blueCorner_fan,redCorner_knockdowns,blueCorner_knockdowns,redCorner_sig_str,blueCorner_sig_str,redCorner_sig_str_percentage,blueCorner_sig_str_percentage,redCorner_total_str,blueCorner_total_str,redCorner_takedowns,blueCorner_takedowns,redCorner_takedown_percentage,blueCorner_takedown_percentage,redCorner_subs_attempted,blueCorner_subs_attempted,round,time,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance
Mirko Filipovic vs Mostapha Al Turk,Mirko Filipovic,Mostapha Al Turk,Mirko Filipovic,UFC 99: The Comeback,Dan Miragliotta,KO/TKO,06.13.2009,Lanxess Arena,no,Main Card,6,24,4,6,0,2,35.0,34.0,,Croatia (Hrvatska),,,1,0,16 of 35,7 of 25,45%,28%,18 of 37,7 of 25,1 of 1,0 of 2,100%,0%,0,0,1,3:06,"6' 2""","6' 2""","73""","77""",Southpaw,Orthodox
Mike Swick vs Ben Saunders,Mike Swick,Ben Saunders,Mike Swick,UFC 99: The Comeback,Leon Roberts,KO/TKO,06.13.2009,Lanxess Arena,no,Main Card,13,7,2,0,0,2,29.0,26.0,United States,,,,1,0,10 of 35,17 of 31,28%,54%,75 of 108,29 of 43,1 of 1,0 of 1,100%,0%,1,0,2,3:47,"6' 1""","6' 2""","77""","77""",Orthodox,Orthodox
Spencer Fisher vs Caol Uno,Spencer Fisher,Caol Uno,Spencer Fisher,UFC 99: The Comeback,Mario Yamasaki,Decision - Unanimous,06.13.2009,Lanxess Arena,no,Main Card,22,25,4,11,0,4,33.0,34.0,United States,,,,0,0,62 of 85,24 of 47,72%,51%,77 of 100,51 of 77,1 of 2,3 of 15,50%,20%,0,0,3,5:00,"5' 7""","5' 7""","68""","70""",Southpaw,Southpaw
Dan Hardy vs Marcus Davis,Dan Hardy,Marcus Davis,Dan Hardy,UFC 99: The Comeback,Marc Goddard,Decision - Split,06.13.2009,Lanxess Arena,no,Main Card,16,21,4,6,0,0,35.0,27.0,,England,,,1,0,28 of 61,19 of 41,45%,46%,73 of 109,104 of 133,1 of 1,2 of 6,100%,33%,0,3,3,5:00,"6' 0""","5' 10""","74""","70""",Orthodox,Southpaw
Terry Etim vs Justin Buchholz,Terry Etim,Justin Buchholz,Terry Etim,UFC 99: The Comeback,Leon Roberts,Submission,06.13.2009,Lanxess Arena,no,Preliminary Card,12,9,2,2,0,0,23.0,25.0,United Kingdom,,,,0,1,27 of 50,23 of 66,54%,34%,31 of 54,43 of 86,0 of 0,0 of 1,,0%,3,0,2,2:38,"6' 1""","6' 0""","73""","73""",Orthodox,Orthodox
Dennis Siver vs Dale Hartt,Dennis Siver,Dale Hartt,Dennis Siver,UFC 99: The Comeback,Marc Goddard,Submission,06.13.2009,Lanxess Arena,no,Preliminary Card,6,13,1,6,0,0,,30.0,,Germany,,,0,0,8 of 23,5 of 16,34%,31%,16 of 31,5 of 16,0 of 0,1 of 1,,100%,2,0,1,3:23,"5' 6""","5' 10""","70""","69""",Orthodox,Orthodox
Paul Taylor vs Peter Sobotta,Paul Taylor,Peter Sobotta,Paul Taylor,UFC 99: The Comeback,Leon Roberts,Decision - Unanimous,06.13.2009,Lanxess Arena,no,Preliminary Card,8,9,1,4,0,1,22.0,29.0,,United Kingdom,,,0,0,46 of 102,18 of 39,45%,46%,80 of 136,19 of 40,0 of 0,2 of 7,,28%,0,0,3,5:00,"6' 0""","6' 0""","72""","75""",Orthodox,Southpaw
Paul Kelly vs Rolando Delgado,Paul Kelly,Rolando Delgado,Paul Kelly,UFC 99: The Comeback,Mario Yamasaki,Decision - Unanimous,06.13.2009,Lanxess Arena,no,Preliminary Card,9,8,1,3,0,1,24.0,27.0,United Kingdom,,,,0,0,32 of 74,14 of 28,43%,50%,90 of 134,42 of 59,1 of 1,1 of 5,100%,20%,2,3,3,5:00,"5' 9""","6' 3""","70""","77""",Orthodox,Orthodox
Stefan Struve vs Denis Stojnic,Stefan Struve,Denis Stojnic,Stefan Struve,UFC 99: The Comeback,Dan Miragliotta,Submission,06.13.2009,Lanxess Arena,no,Preliminary Card,5,16,2,3,0,0,29.0,21.0,Bosnia And Herzegovina,Netherlands,,,0,0,4 of 6,16 of 60,66%,26%,37 of 43,36 of 85,0 of 1,0 of 0,0%,,7,0,2,2:37,"6' 11""","6' 0""","84""",,Orthodox,Orthodox
John Hathaway vs Rick Story,John Hathaway,Rick Story,John Hathaway,UFC 99: The Comeback,Marc Goddard,Decision - Unanimous,06.13.2009,Lanxess Arena,no,Preliminary Card,11,7,0,2,0,0,21.0,24.0,United Kingdom,,,,0,0,31 of 85,21 of 67,36%,31%,102 of 159,47 of 94,4 of 10,4 of 4,40%,100%,3,5,3,5:00,"6' 1""","5' 9""","75""","71""",Orthodox,Southpaw
Lyoto Machida vs Rashad Evans,Lyoto Machida,Rashad Evans,Lyoto Machida,UFC 98: Evans vs Machida,Mario Yamasaki,KO/TKO,05.23.2009,MGM Grand Garden Arena,yes,Main Event,14,13,0,0,0,1,30.0,29.0,Brazil,,,,3,0,28 of 46,4 of 24,60%,16%,37 of 58,5 of 26,0 of 2,0 of 0,0%,,0,0,2,3:57,"6' 1""","6' 0""","74""","75""",Southpaw,Orthodox
Matt Hughes vs Matt Serra,Matt Hughes,Matt Serra,Matt Hughes,UFC 98: Evans vs Machida,Steve Mazzagatti,Decision - Unanimous,05.23.2009,MGM Grand Garden Arena,no,Co-Main Event,10,42,5,7,0,0,34.0,35.0,,United States,,,0,1,34 of 58,14 of 41,58%,34%,79 of 106,36 of 63,3 of 5,1 of 1,60%,100%,0,0,3,5:00,"5' 9""","5' 6""","73""","68""",Switch,Orthodox
Drew McFedries vs Xavier Foupa Pokam,Drew McFedries,Xavier Foupa Pokam,Drew McFedries,UFC 98: Evans vs Machida,Yves Lavigne,KO/TKO,05.23.2009,MGM Grand Garden Arena,no,Main Card,7,20,5,10,0,0,30.0,27.0,United States,,,,2,0,8 of 12,0 of 0,66%,,8 of 12,0 of 0,0 of 0,0 of 0,,,0,0,1,0:37,"6' 0""","6' 1""","72""",,Southpaw,Open Stance
Chael Sonnen vs Dan Miller,Chael Sonnen,Dan Miller,Chael Sonnen,UFC 98: Evans vs Machida,Yves Lavigne,Decision - Unanimous,05.23.2009,MGM Grand Garden Arena,no,Main Card,22,11,10,1,1,0,32.0,27.0,United States,,,,0,0,36 of 61,9 of 21,59%,42%,133 of 166,32 of 46,3 of 5,0 of 0,60%,,0,2,3,5:00,"6' 1""","6' 1""","73""","74""",Southpaw,Orthodox
Frankie Edgar vs Sean Sherk,Frankie Edgar,Sean Sherk,Frankie Edgar,UFC 98: Evans vs Machida,Herb Dean,Decision - Unanimous,05.23.2009,MGM Grand Garden Arena,no,Main Card,10,34,1,3,0,1,27.0,35.0,United States,,,,0,0,74 of 191,27 of 204,38%,13%,76 of 193,30 of 207,1 of 7,1 of 3,14%,33%,1,0,3,5:00,"5' 6""","5' 6""","68""","67""",Orthodox,Orthodox
Brock Larson vs Mike Pyle,Brock Larson,Mike Pyle,Brock Larson,UFC 98: Evans vs Machida,Mario Yamasaki,Submission,05.23.2009,MGM Grand Garden Arena,no,Preliminary Card,28,17,2,4,0,1,31.0,33.0,United States,,,,0,0,4 of 10,1 of 4,40%,25%,13 of 19,3 of 6,1 of 1,0 of 0,100%,,1,0,1,3:06,"5' 11""","6' 0""","71""","74""",Southpaw,Orthodox
