fight,redCorner,blueCorner,winner,event,referee,method_of_victory,date,venue,title_fight,billing,redCorner_wins,blueCorner_wins,redCorner_losses,blueCorner_losses,redCorner_draws,blueCorner_draws,redCorner_age,blueCorner_age,redCorner_nation,blueCorner_nation,redCorner_fan,blueCorner_fan,redCorner_knockdowns,blueCorner_knockdowns,redCorner_sig_str,blueCorner_sig_str,redCorner_sig_str_percentage,blueCorner_sig_str_percentage,redCorner_total_str,blueCorner_total_str,redCorner_takedowns,blueCorner_takedowns,redCorner_takedown_percentage,blueCorner_takedown_percentage,redCorner_subs_attempted,blueCorner_subs_attempted,round,time,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance
Loneer Kavanagh vs Jose Ochoa,Loneer Kavanagh,Jose Ochoa,Loneer Kavanagh,UFC Fight Night: Yan vs. Figueiredo,Mark Craig,Decision - Unanimous,11.23.2024,Galaxy Arena,no,Preliminary Card,7,7,0,0,0,0,25.0,23.0,China,Peru,,,0,0,51 of 126,50 of 158,40%,31%,51 of 126,59 of 168,0 of 2,0 of 1,0%,0%,0,1,3,5:00,"5' 4""","5' 7""","67""","67""",Orthodox,Southpaw
Long Xiao vs Quang Le,Xiao Long,Quang Le,Xiao Long,UFC Fight Night: Yan vs. Figueiredo,Mike Beltran,KO/TKO,11.23.2024,Galaxy Arena,no,Preliminary Card,8,26,1,9,0,0,33.0,26.0,Vietnam,China,,,1,0,87 of 192,64 of 155,45%,41%,92 of 198,68 of 160,0 of 3,1 of 2,0%,50%,0,0,3,1:28,"5' 8""","5' 6""","70""","70""",Orthodox,Orthodox
Maheshate Hayisaer vs Nikolas Motta,Maheshate,Nikolas Motta,Nikolas Motta,UFC Fight Night: Yan vs. Figueiredo,Kevin Sataki,Decision - Unanimous,11.23.2024,Galaxy Arena,no,Preliminary Card,10,14,3,5,0,0,24.0,31.0,China,Brazil,,,0,2,56 of 169,78 of 166,33%,46%,60 of 173,87 of 183,0 of 0,0 of 0,---,---,0,0,3,5:00,"6' 0""","5' 9""","71""","70""",Orthodox,Orthodox
Jon Jones vs Stipe Miocic,Jon Jones,Stipe Miocic,Jon Jones,UFC 309: Jones vs. Miocic,Herb Dean,KO/TKO,11.16.2024,Madison Square Garden,yes,Main Event,27,20,1,4,0,0,37.0,42.0,United States,United States,,,1,0,96 of 119,37 of 89,80%,41%,104 of 128,42 of 94,1 of 1,0 of 0,100%,---,0,0,3,4:29,"6' 4""","6' 4""","84""","80""",Orthodox,Orthodox
Charles Oliveira vs Michael Chandler II,Charles Oliveira,Michael Chandler,Charles Oliveira,UFC 309: Jones vs. Miocic,Keith Peterson,Decision - Unanimous,11.16.2024,Madison Square Garden,no,Co-Main Event,23,34,8,10,0,0,38.0,35.0,United States,Brazil,,,0,0,88 of 122,84 of 113,72%,74%,117 of 153,150 of 181,5 of 12,0 of 1,41%,0%,2,0,5,5:00,"5' 10""","5' 8""","74""","71""",Orthodox,Orthodox
Bo Nickal vs Paul Craig,Bo Nickal,Paul Craig,Bo Nickal,UFC 309: Jones vs. Miocic,Dan Miragliotta,Decision - Unanimous,11.16.2024,Madison Square Garden,no,Main Card,6,17,0,8,0,1,28.0,36.0,United States,Scotland,,,0,0,54 of 85,47 of 129,63%,36%,54 of 85,48 of 130,0 of 0,0 of 0,---,---,0,0,3,5:00,"6' 1""","6' 3""","76""","76""",Southpaw,Orthodox
Karine Silva vs Viviane Araujo,Viviane Araujo,Karine Silva,Viviane Araujo,UFC 309: Jones vs. Miocic,Marc Goddard,Decision - Unanimous,11.16.2024,Madison Square Garden,no,Main Card,18,12,4,6,0,0,30.0,37.0,Brazil,Brazil,,,0,0,48 of 85,58 of 132,56%,43%,105 of 152,76 of 155,3 of 3,1 of 7,100%,14%,1,1,3,5:00,"5' 4""","5' 5""","68""","67""",Orthodox,Orthodox
Mauricio Ruffy vs James Llontop,Mauricio Ruffy,James Llontop,Mauricio Ruffy,UFC 309: Jones vs. Miocic,Kevin MacDonald,Decision - Unanimous,11.16.2024,Madison Square Garden,no,Main Card,10,14,1,4,0,0,28.0,25.0,Brazil,Peru,,,1,0,67 of 113,90 of 236,59%,38%,74 of 120,112 of 260,0 of 0,0 of 6,---,0%,0,0,3,5:00,"5' 11""","6' 0""","75""","73""",Orthodox,Orthodox
Jonathan Martinez vs Marcus McGhee,Jonathan Martinez,Marcus McGhee,Marcus McGhee,UFC 309: Jones vs. Miocic,Herb Dean,Decision - Unanimous,11.16.2024,Madison Square Garden,no,Preliminary Card,9,19,1,5,0,0,34.0,30.0,United States,United States,,,0,0,48 of 108,102 of 223,44%,45%,49 of 109,105 of 226,0 of 0,0 of 0,---,---,0,0,3,5:00,"5' 8""","5' 8""","70""","69""",Southpaw,Orthodox
Jim Miller vs Damon Jackson,Jim Miller,Damon Jackson,Jim Miller,UFC 309: Jones vs. Miocic,Keith Peterson,Submission,11.16.2024,Madison Square Garden,no,Preliminary Card,23,37,7,18,1,0,36.0,41.0,United States,United States,,,0,0,10 of 24,16 of 31,41%,51%,11 of 25,16 of 31,0 of 0,0 of 3,---,0%,1,0,1,2:44,"5' 8""","5' 11""","71""","71""",Southpaw,Switch
Roberto Romero vs David Onama,David Onama,Roberto Romero,David Onama,UFC 309: Jones vs. Miocic,Marc Goddard,Decision - Unanimous,11.16.2024,Madison Square Garden,no,Preliminary Card,8,12,3,2,1,0,24.0,30.0,Mexico,Uganda,,,1,1,121 of 213,74 of 155,56%,47%,145 of 242,79 of 165,1 of 3,0 of 0,33%,---,1,0,3,5:00,"5' 11""","5' 8""","74""","70""",Orthodox,Orthodox
Marcin Tybura vs Jhonata Diniz,Marcin Tybura,Jhonata Diniz,Marcin Tybura,UFC 309: Jones vs. Miocic,Herb Dean,TKO - Doctor's Stoppage,11.16.2024,Madison Square Garden,no,Preliminary Card,25,8,9,0,0,0,39.0,33.0,Poland,Brazil,,,0,0,35 of 49,15 of 29,71%,51%,153 of 187,27 of 44,1 of 3,0 of 0,33%,---,0,0,2,5:00,"6' 3""","6' 4""","78""","79""",Orthodox,Orthodox
Mickey Gall vs Ramiz Brahimaj,Mickey Gall,Ramiz Brahimaj,Ramiz Brahimaj,UFC 309: Jones vs. Miocic,Kevin MacDonald,KO/TKO,11.16.2024,Madison Square Garden,no,Preliminary Card,10,7,5,6,0,0,31.0,32.0,United States,United States,,,0,1,28 of 41,31 of 56,68%,55%,30 of 43,31 of 56,0 of 0,0 of 0,---,---,0,0,1,2:55,"6' 2""","5' 10""","74""","72""",Switch,Orthodox
Oban Elliott vs Bassil Hafez,Bassil Hafez,Oban Elliott,Oban Elliott,UFC 309: Jones vs. Miocic,Marc Goddard,KO/TKO,11.16.2024,Madison Square Garden,no,Preliminary Card,9,11,4,2,1,0,32.0,26.0,United States,Wales,,,0,1,24 of 70,65 of 117,34%,55%,24 of 70,66 of 118,0 of 0,0 of 0,---,---,0,0,3,0:40,"5' 11""","6' 0""","72""","72""",Orthodox,Orthodox
Veronica Hardy vs Eduarda Moura,Veronica Hardy,Eduarda Moura,Eduarda Moura,UFC 309: Jones vs. Miocic,Dan Miragliotta,Decision - Unanimous,11.16.2024,Madison Square Garden,no,Preliminary Card,10,9,1,4,0,1,30.0,29.0,Brazil,Venezuela,,,0,0,46 of 103,26 of 76,44%,34%,61 of 119,41 of 96,0 of 0,3 of 4,---,75%,0,0,3,5:00,"5' 4""","5' 6""","64""","66""",Southpaw,Orthodox
Neil Magny vs Carlos Prates,Neil Magny,Carlos Prates,Carlos Prates,UFC Fight Night: Magny vs. Prates,Mark Smith,KO/TKO,11.09.2024,UFC Apex,no,Main Event,29,20,12,6,0,0,31.0,37.0,Brazil,United States,,,0,2,10 of 20,12 of 21,50%,57%,23 of 33,13 of 22,0 of 7,1 of 1,0%,100%,0,0,1,4:50,"6' 3""","6' 1""","80""","78""",Orthodox,Switch
Gerald Meerschaert vs Reinier de Ridder,Gerald Meerschaert,Reinier de Ridder,Reinier de Ridder,UFC Fight Night: Magny vs. Prates,Mike Beltran,Submission,11.09.2024,UFC Apex,no,Co-Main Event,37,17,17,2,0,0,34.0,36.0,Netherlands,United States,,,0,1,30 of 54,38 of 66,55%,57%,44 of 72,82 of 114,0 of 2,5 of 13,0%,38%,0,1,3,1:44,"6' 1""","6' 4""","77""","78""",Southpaw,Southpaw
Cortavious Romious vs Gaston Bolanos,Gaston Bolanos,Cortavious Romious,Gaston Bolanos,UFC Fight Night: Magny vs. Prates,Kerry Hatley,Decision - Unanimous,11.09.2024,UFC Apex,no,Main Card,7,9,4,2,0,0,30.0,32.0,United States,Peru,,,0,0,53 of 75,17 of 45,70%,37%,80 of 104,30 of 61,2 of 2,4 of 6,100%,66%,0,0,3,5:00,"5' 7""","5' 4""","69""","68""",Orthodox,Southpaw
Luana Pinheiro vs Gillian Robertson,Luana Pinheiro,Gillian Robertson,Gillian Robertson,UFC Fight Night: Magny vs. Prates,Chris Tognoni,Decision - Unanimous,11.09.2024,UFC Apex,no,Main Card,11,14,3,8,0,0,29.0,30.0,Canada,Brazil,,,0,0,42 of 105,52 of 108,40%,48%,63 of 128,78 of 145,0 of 0,5 of 17,---,29%,0,0,3,5:00,"5' 2""","5' 5""","62""","63""",Orthodox,Orthodox
Mansur Abdul Malik vs Dusko Todorovic,Mansur Abdul Malik,Dusko Todorovic,Mansur Abdul Malik,UFC Fight Night: Magny vs. Prates,Mike Beltran,KO/TKO,11.09.2024,UFC Apex,no,Main Card,6,12,0,4,0,0,27.0,30.0,United States,Serbia,,,1,0,29 of 51,3 of 5,56%,60%,31 of 54,3 of 5,0 of 0,0 of 0,---,---,0,0,1,2:44,"6' 2""","6' 1""","79""","74""",Orthodox,Orthodox
Karolina Kowalkiewicz vs Denise Gomes,Karolina Kowalkiewicz,Denise Gomes,Denise Gomes,UFC Fight Night: Magny vs. Prates,Mark Smith,Decision - Unanimous,11.09.2024,UFC Apex,no,Preliminary Card,16,9,8,3,0,0,24.0,39.0,Brazil,Poland,,,0,0,46 of 98,73 of 144,46%,50%,61 of 115,91 of 166,0 of 1,0 of 3,0%,0%,0,1,3,5:00,"5' 3""","5' 2""","64""","63""",Orthodox,Orthodox
Elizeu Zaleski vs Zach Scroggin,Elizeu Zaleski,Zachary Scroggin,Elizeu Zaleski,UFC Fight Night: Magny vs. Prates,Chris Tognoni,KO/TKO,11.09.2024,UFC Apex,no,Preliminary Card,24,7,8,0,1,0,37.0,28.0,Brazil,United States,,,0,0,11 of 35,3 of 8,31%,37%,11 of 43,3 of 8,0 of 0,0 of 0,---,---,0,0,1,1:15,"5' 11""","6' 3""","73""","74""",Orthodox,Orthodox
Charles Radtke vs Matthew Semelsberger,Matthew Semelsberger,Charles Radtke,Charles Radtke,UFC Fight Night: Magny vs. Prates,Kerry Hatley,KO/TKO,11.09.2024,UFC Apex,no,Preliminary Card,11,9,7,4,0,0,31.0,34.0,United States,United States,,,0,0,2 of 8,7 of 12,25%,58%,2 of 8,7 of 12,0 of 0,0 of 0,---,---,0,0,1,0:51,"6' 1""","5' 9""","75""","72""",Switch,Orthodox
Cody Stamann vs DaMon Blackshear,Cody Stamann,DaMon Blackshear,DaMon Blackshear,UFC Fight Night: Magny vs. Prates,Mike Beltran,Submission,11.09.2024,UFC Apex,no,Preliminary Card,21,14,7,7,1,1,30.0,35.0,United States,United States,,,0,0,13 of 33,20 of 44,39%,45%,13 of 33,21 of 46,0 of 1,0 of 0,0%,---,0,3,1,4:19,"5' 6""","5' 10""","64""","72""",Orthodox,Switch
Tresean Gore vs Antonio Trocoli,Tresean Gore,Antonio Trocoli,Tresean Gore,UFC Fight Night: Magny vs. Prates,Kerry Hatley,Submission,11.09.2024,UFC Apex,no,Preliminary Card,4,12,2,4,0,0,33.0,30.0,Brazil,United States,,,0,0,3 of 3,2 of 5,100%,40%,5 of 5,2 of 5,1 of 1,0 of 1,100%,0%,1,0,1,1:23,"6' 0""","6' 6""","75""","79""",Switch,Orthodox
Melissa Mullins vs Klaudia Sygula,Melissa Mullins,Klaudia Sygula,Melissa Mullins,UFC Fight Night: Magny vs. Prates,Chris Tognoni,KO/TKO,11.09.2024,UFC Apex,no,Preliminary Card,6,6,1,1,0,0,33.0,25.0,England,Poland,,,0,0,38 of 60,12 of 32,63%,37%,54 of 85,22 of 42,2 of 3,0 of 3,66%,0%,0,0,2,1:20,"5' 7""","5' 8""","68""","69""",Orthodox,Orthodox
Brandon Moreno vs Amir Albazi,Brandon Moreno,Amir Albazi,Brandon Moreno,UFC Fight Night: Moreno vs. Albazi,Marc Goddard,Decision - Unanimous,11.02.2024,Rogers Place,no,Main Event,21,17,8,1,2,0,30.0,31.0,Mexico,Iraq,,,0,0,132 of 317,63 of 235,41%,26%,132 of 317,63 of 236,0 of 1,1 of 4,0%,25%,0,0,5,5:00,"5' 7""","5' 5""","70""","68""",Orthodox,Orthodox
Rose Namajunas vs Erin Blanchfield,Erin Blanchfield,Rose Namajunas,Erin Blanchfield,UFC Fight Night: Moreno vs. Albazi,Blake Grice,Decision - Unanimous,11.02.2024,Rogers Place,no,Co-Main Event,12,13,2,6,0,0,32.0,25.0,United States,United States,,,0,0,110 of 281,94 of 245,39%,38%,193 of 387,101 of 254,2 of 8,1 of 4,25%,25%,0,0,5,5:00,"5' 4""","5' 5""","66""","65""",Orthodox,Orthodox
Caio Machado vs Brendson Ribeiro,Caio Machado,Brendson Ribeiro,Brendson Ribeiro,UFC Fight Night: Moreno vs. Albazi,Jerin Valel,Decision - Split,11.02.2024,Rogers Place,no,Main Card,8,15,3,7,1,0,28.0,30.0,Brazil,Brazil,,,0,0,76 of 184,49 of 131,41%,37%,79 of 187,49 of 131,0 of 0,0 of 0,---,---,0,0,3,5:00,"6' 4""","6' 3""","78""","81""",Southpaw,Orthodox
Ariane Lipski da Silva vs Jasmine Jasudavicius,Ariane da Silva,Jasmine Jasudavicius,Jasmine Jasudavicius,UFC Fight Night: Moreno vs. Albazi,Luke Boutin,Submission,11.02.2024,Rogers Place,no,Main Card,17,11,9,3,0,0,35.0,30.0,Canada,Brazil,,,0,0,42 of 92,36 of 84,45%,42%,43 of 93,130 of 218,0 of 0,3 of 5,---,60%,0,1,3,2:28,"5' 6""","5' 7""","67""","68""",Orthodox,Orthodox
Marc Andre Barriault vs Dustin Stoltzfus,Marc Andre Barriault,Dustin Stoltzfus,Dustin Stoltzfus,UFC Fight Night: Moreno vs. Albazi,Marc Goddard,KO/TKO,11.02.2024,Rogers Place,no,Main Card,16,15,8,6,0,0,32.0,34.0,United States,Canada,,,0,1,7 of 11,13 of 20,63%,65%,13 of 17,23 of 32,0 of 0,0 of 0,---,---,0,1,1,4:28,"6' 1""","6' 0""","74""","75""",Orthodox,Orthodox
Mike Malott vs Trevin Giles,Mike Malott,Trevin Giles,Mike Malott,UFC Fight Night: Moreno vs. Albazi,Andy Social,Decision - Unanimous,11.02.2024,Rogers Place,no,Main Card,10,16,2,6,1,0,32.0,32.0,Canada,United States,,,0,0,59 of 130,34 of 78,45%,43%,59 of 130,34 of 78,0 of 1,0 of 0,0%,---,0,0,3,5:00,"6' 1""","6' 0""","73""","74""",Orthodox,Orthodox
Aiemann Zahabi vs Pedro Munhoz,Aiemann Zahabi,Pedro Munhoz,Aiemann Zahabi,UFC Fight Night: Moreno vs. Albazi,Jerin Valel,Decision - Unanimous,11.02.2024,Rogers Place,no,Preliminary Card,11,20,2,9,0,0,36.0,38.0,Canada,Brazil,,,0,0,109 of 206,95 of 327,52%,29%,110 of 208,95 of 327,0 of 1,0 of 6,0%,0%,0,0,3,5:00,"5' 8""","5' 6""","68""","65""",Orthodox,Orthodox
Charles Jourdain vs Victor Henry,Charles Jourdain,Victor Henry,Charles Jourdain,UFC Fight Night: Moreno vs. Albazi,Blake Grice,Submission,11.02.2024,Rogers Place,no,Preliminary Card,15,24,8,6,1,0,28.0,37.0,Canada,United States,,,0,0,39 of 73,24 of 54,53%,44%,50 of 87,39 of 75,0 of 2,4 of 6,0%,66%,1,0,2,3:43,"5' 9""","5' 7""","69""","68""",Switch,Switch
Jack Shore vs Youssef Zalal,Jack Shore,Youssef Zalal,Youssef Zalal,UFC Fight Night: Moreno vs. Albazi,Luke Boutin,Submission,11.02.2024,Rogers Place,no,Preliminary Card,17,15,2,5,0,1,28.0,29.0,Morocco,Wales,,,0,1,8 of 18,13 of 27,44%,48%,10 of 21,21 of 37,2 of 4,1 of 2,50%,50%,0,1,2,0:59,"5' 8""","5' 10""","71""","72""",Orthodox,Switch
Alexandr Romanov vs Rodrigo Nascimento,Alexandr Romanov,Rodrigo Nascimento,Alexandr Romanov,UFC Fight Night: Moreno vs. Albazi,Marc Goddard,Decision - Unanimous,11.02.2024,Rogers Place,no,Preliminary Card,17,11,3,2,0,0,33.0,31.0,Moldova,Brazil,,,0,0,45 of 92,31 of 91,48%,34%,87 of 135,48 of 108,6 of 10,0 of 0,60%,---,1,0,3,5:00,"6' 2""","6' 2""","75""","80""",Southpaw,Orthodox
Serhiy Sidey vs Garrett Armfield,Serhiy Sidey,Garrett Armfield,Serhiy Sidey,UFC Fight Night: Moreno vs. Albazi,Andy Social,Decision - Split,11.02.2024,Rogers Place,no,Preliminary Card,10,10,2,4,0,0,28.0,28.0,Canada,United States,,,0,0,68 of 144,71 of 142,47%,50%,75 of 151,77 of 148,0 of 4,4 of 5,0%,80%,3,1,3,5:00,"5' 11""","5' 6""","72""","70""",Switch,Orthodox
Chad Anheliger vs Cody Gibson,Chad Anheliger,Cody Gibson,Cody Gibson,UFC Fight Night: Moreno vs. Albazi,Jerin Valel,Decision - Unanimous,11.02.2024,Rogers Place,no,Preliminary Card,13,20,7,10,0,0,37.0,37.0,Canada,United States,,,0,0,11 of 19,16 of 34,57%,47%,59 of 77,59 of 93,0 of 0,5 of 6,---,83%,0,2,3,5:00,"5' 6""","5' 10""","64""","71""",Orthodox,Orthodox
Jamey Lyn Horth vs Ivana Petrovic,Jamey Lyn Horth,Ivana Petrovic,Jamey Lyn Horth,UFC Fight Night: Moreno vs. Albazi,Blake Grice,Decision - Split,11.02.2024,Rogers Place,no,Preliminary Card,6,7,1,1,0,0,34.0,30.0,Canada,Croatia (Hrvatska),,,0,0,29 of 70,25 of 75,41%,33%,50 of 94,67 of 128,2 of 4,2 of 6,50%,33%,0,0,3,5:00,"5' 7""","5' 8""","66""","70""",Orthodox,Southpaw
Ilia Topuria vs Max Holloway,Ilia Topuria,Max Holloway,Ilia Topuria,UFC 308: Topuria vs. Holloway,Marc Goddard,KO/TKO,10.26.2024,Etihad Arena,yes,Main Event,15,26,0,7,0,0,27.0,32.0,Georgia,United States,,,1,0,75 of 144,79 of 204,52%,38%,78 of 147,84 of 209,2 of 2,0 of 0,100%,---,0,0,3,1:34,"5' 7""","5' 11""","69""","69""",Orthodox,Orthodox
Robert Whittaker vs Khamzat Chimaev,Robert Whittaker,Khamzat Chimaev,Khamzat Chimaev,UFC 308: Topuria vs. Holloway,Jason Herzog,Submission,10.26.2024,Etihad Arena,no,Co-Main Event,13,26,0,7,0,0,30.0,33.0,United Arab Emirates,Australia,,,0,0,2 of 2,3 of 4,100%,75%,2 of 2,25 of 31,0 of 0,2 of 4,---,50%,0,1,1,3:34,"6' 0""","6' 2""","73""","75""",Orthodox,Orthodox
Magomed Ankalaev vs Aleksandar Rakic,Magomed Ankalaev,Aleksandar Rakic,Magomed Ankalaev,UFC 308: Topuria vs. Holloway,Vitor Ribeiro,Decision - Unanimous,10.26.2024,Etihad Arena,no,Main Card,19,14,1,4,1,0,32.0,32.0,Russia,Serbia,,,0,0,55 of 114,53 of 117,48%,45%,75 of 142,59 of 123,0 of 0,0 of 1,---,0%,0,0,3,5:00,"6' 3""","6' 4""","75""","78""",Orthodox,Orthodox
Lerone Murphy vs Dan Ige,Lerone Murphy,Dan Ige,Lerone Murphy,UFC 308: Topuria vs. Holloway,Mark Smith,Decision - Unanimous,10.26.2024,Etihad Arena,no,Main Card,14,18,0,8,1,0,33.0,33.0,England,United States,,,0,1,52 of 100,46 of 106,52%,43%,78 of 133,52 of 116,3 of 5,1 of 3,60%,33%,0,0,3,5:00,"5' 9""","5' 7""","73""","71""",Orthodox,Orthodox
Shara Magomedov vs Armen Petrosyan,Shara Magomedov,Armen Petrosyan,Shara Magomedov,UFC 308: Topuria vs. Holloway,Kerry Hatley,KO/TKO,10.26.2024,Etihad Arena,no,Main Card,14,8,0,3,0,0,30.0,33.0,Russia,Armenia,,,1,0,65 of 106,77 of 140,61%,55%,67 of 108,77 of 141,0 of 0,0 of 0,---,---,0,0,2,4:52,"6' 2""","6' 3""","73""","71""",Orthodox,Orthodox
Ibo Aslan vs Raffael Cerqueira,Ibo Aslan,Rafael Cerqueira,Ibo Aslan,UFC 308: Topuria vs. Holloway,Marc Goddard,KO/TKO,10.26.2024,Etihad Arena,no,Preliminary Card,13,11,1,0,0,0,28.0,34.0,Turkey,Brazil,,,0,0,28 of 36,1 of 1,77%,100%,28 of 36,1 of 1,0 of 0,0 of 0,---,---,0,0,1,0:51,"6' 3""","6' 3""","77""","76""",Orthodox,Southpaw
Geoff Neal vs Rafael dos Anjos,Geoff Neal,Rafael Dos Anjos,Geoff Neal,UFC 308: Topuria vs. Holloway,Mark Smith,KO/TKO,10.26.2024,Etihad Arena,no,Preliminary Card,15,32,6,16,0,0,34.0,40.0,United States,Brazil,,,1,0,18 of 30,4 of 13,60%,30%,21 of 34,4 of 13,1 of 1,0 of 0,100%,---,0,0,1,1:30,"5' 11""","5' 8""","75""","70""",Southpaw,Southpaw
Myktybek Orolbai vs Mateusz Rebecki,Mateusz Rebecki,Myktybek Orolbai,Mateusz Rebecki,UFC 308: Topuria vs. Holloway,Vitor Ribeiro,Decision - Split,10.26.2024,Etihad Arena,no,Preliminary Card,19,13,2,1,0,1,26.0,32.0,Kyrgyzstan,Poland,,,1,0,71 of 146,61 of 135,48%,45%,93 of 174,85 of 162,3 of 4,2 of 5,75%,40%,0,0,3,5:00,"5' 7""","5' 10""","66""","74""",Southpaw,Orthodox
Abus Magomedov vs Brunno Ferreira,Abus Magomedov,Brunno Ferreira,Abus Magomedov,UFC 308: Topuria vs. Holloway,Marc Goddard,Submission,10.26.2024,Etihad Arena,no,Preliminary Card,26,12,6,1,1,0,34.0,31.0,Germany,Brazil,,,0,0,26 of 59,29 of 71,44%,40%,45 of 81,36 of 83,4 of 8,0 of 0,50%,---,1,1,3,3:14,"6' 2""","5' 10""","78""","72""",Orthodox,Orthodox
Kennedy Nzechukwu vs Chris Barnett,Kennedy Nzechukwu,Chris Barnett,Kennedy Nzechukwu,UFC 308: Topuria vs. Holloway,Jason Herzog,KO/TKO,10.26.2024,Etihad Arena,no,Preliminary Card,12,23,5,8,0,0,32.0,38.0,Nigeria,United States,,,0,0,51 of 74,12 of 34,68%,35%,51 of 74,12 of 34,0 of 0,0 of 1,---,0%,0,0,1,4:27,"6' 5""","5' 9""","83""","75""",Southpaw,Orthodox
Farid Basharat vs Victor Hugo,Farid Basharat,Victor Hugo,Farid Basharat,UFC 308: Topuria vs. Holloway,Kerry Hatley,Decision - Unanimous,10.26.2024,Etihad Arena,no,Preliminary Card,12,25,0,4,0,0,27.0,31.0,Afghanistan,Brazil,,,0,0,60 of 126,45 of 125,47%,36%,89 of 168,48 of 128,4 of 7,1 of 4,57%,25%,0,1,3,5:00,"5' 8""","5' 7""","71""","71""",Orthodox,Orthodox
Bruno Silva vs Ismail Naurdiev,Ismail Naurdiev,Bruno Silva,Ismail Naurdiev,UFC 308: Topuria vs. Holloway,Mark Smith,Decision - Unanimous,10.26.2024,Etihad Arena,no,Preliminary Card,23,23,7,11,0,0,35.0,28.0,Brazil,Morocco,,,0,0,66 of 116,36 of 97,56%,37%,107 of 166,38 of 100,3 of 13,0 of 3,23%,0%,0,0,3,5:00,"5' 10""","6' 0""","74""","74""",Orthodox,Orthodox
Rinat Fakhretdinov vs Carlos Leal,Rinat Fakhretdinov,Carlos Leal,Rinat Fakhretdinov,UFC 308: Topuria vs. Holloway,Vitor Ribeiro,Decision - Unanimous,10.26.2024,Etihad Arena,no,Preliminary Card,23,21,2,5,1,0,33.0,30.0,Russia,Brazil,,,0,0,109 of 222,107 of 246,49%,43%,119 of 236,146 of 292,2 of 19,1 of 4,10%,25%,0,0,3,5:00,"6' 0""","5' 11""","74""","74""",Orthodox,Orthodox
Michel Pereira vs Anthony Hernandez,Anthony Hernandez,Michel Pereira,Anthony Hernandez,UFC Fight Night: Hernandez vs. Pereira,Herb Dean,KO/TKO,10.19.2024,UFC Apex,no,Main Event,12,31,2,11,0,0,31.0,31.0,Brazil,United States,,,0,0,152 of 212,24 of 53,71%,45%,219 of 293,29 of 62,10 of 29,0 of 1,34%,0%,0,1,5,2:22,"6' 0""","6' 1""","75""","73""",Orthodox,Orthodox
Rob Font vs Kyler Phillips,Rob Font,Kyler Phillips,Rob Font,UFC Fight Night: Hernandez vs. Pereira,Keith Peterson,Decision - Unanimous,10.19.2024,UFC Apex,no,Co-Main Event,20,12,8,2,0,0,37.0,29.0,United States,United States,,,0,0,61 of 137,38 of 125,44%,30%,65 of 144,50 of 143,0 of 1,4 of 5,0%,80%,0,0,3,5:00,"5' 8""","5' 8""","71""","72""",Orthodox,Orthodox
Sumudaerji vs Charles Johnson,Charles Johnson,Sumudaerji,Charles Johnson,UFC Fight Night: Hernandez vs. Pereira,Mark Smith,Decision - Unanimous,10.19.2024,UFC Apex,no,Main Card,16,16,6,6,0,0,28.0,33.0,China,United States,,,1,0,65 of 150,75 of 144,43%,52%,84 of 177,78 of 149,2 of 6,0 of 3,33%,0%,0,2,3,5:00,"5' 9""","5' 8""","70""","72""",Switch,Southpaw
Jake Hadley vs Cameron Smotherman,Jake Hadley,Cameron Smotherman,Cameron Smotherman,UFC Fight Night: Hernandez vs. Pereira,Chris Tognoni,Decision - Unanimous,10.19.2024,UFC Apex,no,Main Card,11,11,3,4,0,0,27.0,28.0,United States,England,,,0,0,60 of 165,96 of 259,36%,37%,70 of 176,97 of 260,1 of 2,0 of 0,50%,---,0,0,3,5:00,"5' 7""","5' 9""","70""","69""",Southpaw,Orthodox
Darren Elkins vs Daniel Pineda,Darren Elkins,Daniel Pineda,Darren Elkins,UFC Fight Night: Hernandez vs. Pereira,Herb Dean,Decision - Unanimous,10.19.2024,UFC Apex,no,Main Card,28,28,11,16,0,0,39.0,40.0,United States,United States,,,0,0,39 of 88,31 of 53,44%,58%,102 of 170,61 of 85,3 of 12,0 of 0,25%,---,0,2,3,5:00,"5' 10""","5' 7""","71""","69""",Orthodox,Orthodox
Matheus Nicolau vs Asu Almabayev,Matheus Nicolau,Asu Almabayev,Asu Almabayev,UFC Fight Night: Hernandez vs. Pereira,Keith Peterson,Decision - Unanimous,10.19.2024,UFC Apex,no,Preliminary Card,19,20,4,2,1,0,30.0,31.0,Kazakhstan,Brazil,,,0,1,16 of 42,22 of 54,38%,40%,38 of 68,55 of 112,0 of 1,1 of 6,0%,16%,1,0,3,5:00,"5' 6""","5' 4""","66""","65""",Orthodox,Orthodox
Brad Katona vs Jean Matsumoto,Brad Katona,Jean Matsumoto,Jean Matsumoto,UFC Fight Night: Hernandez vs. Pereira,Mark Smith,Decision - Unanimous,10.19.2024,UFC Apex,no,Preliminary Card,14,15,3,0,0,0,25.0,32.0,Brazil,Canada,,,0,0,89 of 141,89 of 201,63%,44%,117 of 171,109 of 223,3 of 8,1 of 7,37%,14%,0,0,3,5:00,"5' 6""","5' 6""","64""","68""",Orthodox,Orthodox
